Bokmål,Nynorsk,Engelsk,Merknad
stump vinkel,stump vinkel,obtuse angle,
stykkevis kontinuerlig,stykkevis kontinuerleg,piecewise continuous,
styrelinje,styrelinje,directrix,
største felles divisor,største felles divisor,greatest common divisor,"Synonym: største felles faktor"
største felles faktor,største felles faktor,greatest common factor,"Synonym: største felles divisor"
største nedre skranke,største nedre skranke,greatest lower bound,
støtte,støtte,support,
submersjon,submersjon,submersion,
substitusjon,substitusjon,substitution,
sum,sum,sum,
summering,summering,summation,
superposisjon,superposisjon,superposition,
supplementvinkel,supplementvinkel,supplementary angle,"Suplementvinkler kan også omtales som supplementære vinkler."
supremum,supremum,supremum,
surjeksjon,surjeksjon,surjection,
surjektiv,surjektiv,surjective,"Synonym: på"
surjektivt system,surjektivt system,surjective system,
suspensjon,suspensjon,suspension,
sykel,sykel,cycle,
sykloide,sykloide,cycloid,
sylinder,sylinder,cylinder,
sylinderkoordinater,sylinderkoordinatar,cylindrical coordinates,
sylow-p-undergruppe,sylow-p-undergruppe,Sylow p-subgroup,
sylowteorem,sylowteorem,Sylow theorem,
sylowteori,sylowteori,Sylow theory,
symmetrisk matrise,symmetrisk matrise,symmetric matrix,
symmetrisk,symmetrisk,symmetric,
syzygi,syzygi,syzygy,"Uttale: [sytsygi:´]"
t-test,t-test,t-test,
tak,tak,roof,
tall,tal,number,
tallinje,tallinje,real line,
tallkropp,talkropp,number field,
tallteori,talteori,number theory,
tangentplan,tangentplan,tangent plane,
tangentvektor,tangentvektor,tangent vector,
taylorpolynom,taylorpolynom,Taylor polynomial,
taylorrekke,taylorrekkje,Taylor series,
tegntest,teikntest,sign test,
tellbar,teljeleg,countable,
teller,teljar,numerator,
tensor,tensor,tensor,
tensorprodukt,tensorprodukt,tensor product,
teorem,teorem,theorem,
testobservator,testobservator,test statistic,
tetraeder,tetraeder,tetrahedron,
tett,tett,dense,
tetthetsfunksjon,tettleiksfunksjon,density function,
tilbakelegging,tilbakelegging,replacement,
tilfeldig feil,tilfeldig feil,random error,
tilfeldig utvalg,tilfeldig utval,random sample,
tillatelig ideal,tillateleg ideal,admissible ideal,
tillatelig relasjon,tillateleg relasjon,admissible relation,
tillukning,tillukking,closure,
tilnærmet normalfordeling,tilnærma normalfordeling,near normal distribution,
tilnærmet,tilnærma,approximately,
tilstøtende,tilstøytande,adjoining,
tom,tom,empty,
topologi,topologi,topology,
topologisk ekvivalent,topologisk ekvivalent,topologically equivalent,
topologisk gruppe,topologisk gruppe,topological group,
topologisk ring,topologisk ring,topological ring,
topologisk rom,topologisk rom,topological space,
topologisk vektorrom,topologisk vektorrom,topological vector space,
topologisk,topologisk,topological,
topp,topp,peak,"Oversettelsen gjelder bruk innen blant annet statistikk, og utelukker ikke at termen kan benyttes ulikt i andre sammenhenger."
topp,topp,top,
toppvinkel,toppvinkel,vertical angle,
torsjon,torsjon,torsion,
torsjonselement,torsjonselement,torsion element,
torsjonsfri,torsjonsfri,torsion-free,
torsjonsmodul,torsjonsmodul,torsion module,
torsjonsundermodul,torsjonsundermodul,torsion submodule,
torus,torus,torus,
tosidig ideal,tosidig ideal,two-sided ideal,
tosidig test,tosidig test,two-sided test,
tosidig,tosidig,two-sided,
total brøkring,total brøkring,total ring of fractions,
totalderivert funktor,totalderivert funktor,total derived functor,
totalkompleks,totalkompleks,total complex,
totalrom,totalrom,total space,
totalt begrenset,totalt avgrensa,totally bounded,
toutvalgstest,toutvalstest,two-sample test,
transendent funksjon,transendent funksjon,transcendental function,
transendent tall,transendent tal,transcendental number,
transitiv,transitiv,transitive,
transposisjon,transposisjon,transposition,
trapes,trapes,trapezium,
trappeform,trappeform,row echelon form,
trappefunksjon,trappefunksjon,step function,
trappematrise,trappematrise,matrix in row echelon form,
tredjegradspolynom,tredjegradspolynom,cubic polynomial,
tredjerot,tredjerot,cube root,
trekantulikhet,trekantulikskap,triangle inequality,
triagonaliserbar,triagonaliserbar,triagonalizable,
triagonalisere,triagonalisere,triagonalize,
triagonalisering,triagonalisering,triagonalization,
triangulert kategori,triangulert kategori,triangulated category,
trigonometri,trigonometri,trigonometry,
trigonometrisk,trigonometrisk,trigonometric,
trippel,trippel,triple,
trivialisering,trivialisering,trivialization,
triviell,triviell,trivial,
trofast funktor,trufast funktor,faithful functor,
trofast modul,trufast modul,faithful module,
trunkering,trunkering,truncation,
tuppel,tuppel,tuple,
tverrsnittstudie,tverrsnittstudie,cross sectional study,
type I-feil/forkastningsfeil,type I-feil/forkastingsfeil,error of first kind/false positive,"Begge oversettelsene brukes på norsk, men forkastningsfeil (bokmål) og forkastingsfeil (nynorsk) anbefales."
type II-feil/godtakingsfeil,type II-feil/godtakingsfeil,error of second kind/false negative,"Begge oversettelsene brukes på norsk, men godtakingsfeil anbefales."
uavgjørbar,uavgjerbar,undecidable,
uavhengig,uavhengig,independent,
uavhengighet,uavhengnad,independence,
ubestemt integral,ubestemt integral,indefinite integral,
ubestemt matrise,ubestemd matrise,indefinite matrix,
uegentlig integral/uekte integral,ueigentleg integral/uekte integral,improper integral,
uendeligdimensjonal,uendelegdimensjonal,infinite-dimensional,
uendeligdimensjonalt vektorrom,uendelegdimensjonalt vektorrom,infinite-dimensional vector space,
UFD,UFD,UFD,"UFD er en forkortelse for entydig faktoriseringsområde (bokmål) og eintydig faktoriseringsområde (nynorsk), og stammer fra <i>unique factorization domain</i>."
ulikhet,ulikskap,inequality,
ultrafilter,ultrafilter,ultrafilter,
underalgebra,underalgebra,subalgebra,
underbasis,underbasis,subbase,"De engelske termene <i>base</i> og <i>basis</i> brukes ikke helt synonymt. For eksempel vil <i>base</i> foretrekkes i topologi, mens <i>basis</i> brukes i lineær algebra. Merk at begge oversettes til basis på norsk."
underbasis,underbasis,subbasis,"De engelske termene <i>base</i> og <i>basis</i> brukes ikke helt synonymt. For eksempel vil <i>base</i> foretrekkes i topologi, mens <i>basis</i> brukes i lineær algebra. Merk at begge oversettes til basis på norsk."
underbestemt likningssystem,underbestemt likningssystem,underdetermined system of equations,
underbunt,underbunt,subbundle,
underdiagonal,underdiagonal,subdiagonal,
undergruppe,undergruppe,subgroup,
underkategori,underkategori,subcategory,
underkompleks,underkompleks,subcomplex,
underkropp,underkropp,subfield,
undermodul,undermodul,submodule,
underrepresentasjon,underrepresentasjon,subrepresentation,
underring,underring,subring,
underrom,underrom,subspace,
understokastisk matrise,understokastisk matrise,substochastic matrix,
understokastisk,understokastisk,substochastic,
uniform kontinuitet,uniform kontinuitet,uniform continuity,
uniform konvergens,uniform konvergens,uniform convergence,
uniformt kontinuerlig,uniformt kontinuerleg,uniformly continuous,
union,union,union,
unitær,unitær,unitary,
univariat fordeling,univariat fordeling,univariate distribution,
universalegenskap,universaleigenskap,universal property,
unær,unær,unary,
unæroperasjon,unæroperasjon,unary operation,
usammenhengende,usamanhengande,disconnected,
usann,usann,false,
utfall,utfall,outcome,
utfallsrom,utfallsrom,sample space,
utlede,utleie,derive,
utledning,utleiing,derivation,
utsagnslogikk,utsegnslogikk,propositional logic,
utspenne,utspenne,span,"Ordklasse: verb"
uttrykk,uttrykk,expression,
utvalg,utval,sample,
utvalgsaksiomet,utvalsaksiomet,axiom of choice,
utvalgsstørrelse,utvalsstorleik,sample size,
utvelging,utveljing,sampling,
utvidet matrise,utvida matrise,augmented matrix,
valuasjon,valuasjon,valuation,
valuasjonsring,valuasjonsring,valuation ring,
variabel,variabel,variable,
varians,varians,variance,
variansanalyse,variansanalyse,analysis of variance/variance analysis,"Variansanalyse forkortes ofte til ANOVA."
variasjonsbredde,variasjonsbreidd,range,"Oversettelsen gjelder bruk i statistikk, og utelukker ikke at termen kan benyttes ulikt i andre sammenhenger."
varietet,varietet,variety,
varmelikning,varmelikning,heat equation,
veialgebra,vegalgebra,path algebra,
veihomotop,veghomotop,path homotopic,
veihomotopi,veghomotopi,path homotopy,
veihomotopiklasse,veghomotopiklasse,path homotopy class,
veikomponent/veisammenhengskomponent,vegkomponent/vegsamanhengskomponent,path component,
veisammenhengende,vegsamanhengande,path connected,
vektor,vektor,vector,
vektorfelt,vektorfelt,vector field,
vektorrom,vektorrom,vector space,
veldefinert,veldefinert,well-defined,
velordning,velordning,well-ordering,
vendepunkt,vendepunkt,inflection point,
venndiagram,venndiagram,Venn diagram,
venstreadjungert funktor,venstreadjungert funktor,left adjoint functor,
venstreadjungert,venstreadjungert,left adjoint,
venstreartinsk,venstreartinsk,left Artinian,
venstreeksakt,venstreeksakt,left exact,
venstreideal,venstreideal,left ideal,
venstreinverterbar,venstreinverterbar,left invertible,
venstrekoherent,venstrekoherent,left coherent,
venstremodul,venstremodul,left module,
venstrenoethersk,venstrenoethersk,left Noetherian,
verdimengde,verdimengd,range,
vilkårlig,vilkårleg,arbitrary,
vinkel,vinkel,angle,
vinkelhalveringsstråle,vinkelhalveringsstråle,angle bisector,
virrevandring,virrevandring,random walk,
voksende,veksande,increasing,
wronskideterminant,wronskideterminant,Wronski determinant,"Wronskideterminant kalles ofte bare <i>Wronskian</i> på engelsk."
yonedaimbedding,yonedaimbedding,Yoneda embedding,
yonedalemmaet,yonedalemmaet,Yoneda lemma,
ytreprodukt,ytreprodukt,outer product,
zariskitopologi,zariskitopologi,Zariski topology,
Zorns lemma,Zorns lemma,Zorn's lemma,
øvre grense,øvre grense,superior limit/upper limit,
øvre skranke,øvre skranke,upper bound,
åpen avbildning,open avbilding,open map,
åpen overdekning,open overdekking,open cover/open covering,
åpen,open,open,
