Bokmål,Nynorsk,Engelsk,Merknad
diskret valuasjonsring,diskret valuasjonsring,discrete valuation ring,
diskret,diskret,discrete,
diskriminant,diskriminant,discriminant,
distribusjon,distribusjon,distribution,
distributiv,distributiv,distributive,
divergens,divergens,divergence,
divergent,divergent,divergent,
divergere,divergere,diverge,
divisjonsalgebra,divisjonsalgebra,division algebra,
divisjonsring,divisjonsring,division ring,
dobbeltderivert,dobbelderivert,double derivative,
dobbeltintegral,dobbelintegral,double integral,
dobbeltkompleks,dobbelkompleks,double complex,
dodekaeder,dodekaeder,dodecahedron,
domene,domene,domain,
dualbasis,dualbasis,dual basis,
dualitet,dualitet,duality,
dualrom,dualrom,dual space,
dynkindiagram,dynkindiagram,Dynkin diagram,
egenfunksjon,eigenfunksjon,eigenfunction,
egenrom,eigenrom,eigenspace,
egenvektor,eigenvektor,eigenvector,
egenverdi,eigenverdi,eigenvalue,
Eisensteins kriterium,Eisensteins kriterium,Eisenstein’s criterion,
eksakt funktor,eksakt funktor,exact functor,
eksakt følge,eksakt følgje,exact sequence,
eksisjon,eksisjon,exision,
eksistenskvantor,eksistenskvantor,existential quantifier,
eksponent,eksponent,exponent,
eksponentialfunksjon,eksponentialfunksjon,exponential function,
eksponentialregresjon/eksponentiell regresjon,eksponentialregresjon/eksponentiell regresjon,exponential regression,
eksponentiell vekst,eksponentiell vekst,exponential growth,
eksponentiell,eksponentiell,exponential,"Ordklasse: adjektiv <br> Uttale: [eksponentsie´l:]"
eksponentielt,eksponentielt,exponentially,"Ordklasse: adverb <br> Uttale: [eksponentsie´lt]"
ekstremalpunkt,ekstremalpunkt,extremum,
ekstremalverdi,ekstremalverdi,extremum,
ekte delmengde,ekte delmengd,proper subset,
ekte inklusjon/streng inklusjon,ekte inklusjon/streng inklusjon,strict inclusion,
ekte undergruppe,ekte undergruppe,proper subgroup,
ekte undermodul,ekte undermodul,proper submodule,
ekvikontinuerlig,ekvikontinuerleg,equicontinuous,
ekvivalens,ekvivalens,equivalence,
ekvivalensklasse,ekvivalensklasse,equivalence class,
ekvivalensrelasjon,ekvivalensrelasjon,equivalence relation,
ekvivalent,ekvivalent,equivalent,
element,element,element,
elementær matrise,elementær matrise,elementary matrix,
elementærtensor,elementærtensor,elementary tensor,
ellipse,ellipse,ellipse,
ellipsoide,ellipsoide,ellipsoid,
elliptisk,elliptisk,elliptic,
